Van Cortlandt,,9603
Varnum,,9650
White,,10038
Widgery,,10090
Williams,,10140
Wilson,,10253
Winn,,10275
Destréhan,,
Magruder,,5916
Posey,,7543
Barnett,,450
Bayly,,535
Beall,,547
Benson,,649
Bibb,,686
Bigelow,,703
Bines,,714
Bledsoe,,792
Bond,,
Bowen,,898
Bowers,,905
Boyd,,928
Brown,,1132
Bulloch,,1230
Butler,,1337
Caperton,,1492
Cheves,,1688
Conard,,1971
Coxe,,2122
Crouch,,2201
Daggett,,2296
Dana,,2315
Davis,,2409
Davis,,2410
Dawson,,2426
Denoyelles,,2510
Dewey,,2542
Duval,,2795
Ely,,2956
Evans,,3006
Farrow,,3074
Forney,,3282
Franklin,,3344
Fromentin,,3377
Geddes,,3523
Gloninger,,3632
Gourdin,,3726
Harris,,4115
Hasbrouck,,4168
Hawkins,,4216
Hempstead,,
Henderson,,4314
Hopkins,,4571
Hopkins,,4573
Howell,,4653
Hubbard,,4671
Hufty,,4693
Humphreys,,4736
Hyneman,,4789
Jackson,,4862
Kennedy,,5186
Kershaw,,5216
Lacock,,5392
Lefferts,,5581
Markell,,5983
Mason,,6054
McKim,,6306
Miller,,6501
Pearson,,7288
Post,,7546
Potter,,7553
Rea,,7760
Reed,,7797
Richardson,,7885
Schureman,,8278
Sherwood,,8464
Shipherd,,8473
Skinner,,8561
Slaymaker,,8571
Smith,,8638
Smith,,8646
Smith,,8680
Stockton,,8964
Stone,,8977
Tait,,9157
Tannehill,,9175
Thompson,,9327
Wells,,9947
White,,10020
Whitehill,,10053
Whitehill,,10053
Winter,,10282
Wood,,10317
Barry,,478
Kerr,,5210
Locke,,
Roberts,,7953
Thompson,,9341
Walker,,9741
Wharton,,9979
Adgate,,47
Alexander,,84
Atherton,,279
Avery,,299
Baer,,332
Baker,,362
Bard,,429
Betts,,681
Birdsall,,727
Bradbury,,945
Breckinridge,,992
Brigham,,1036
Brooks,,1080
Brown,,1099
Burnside,,1301
Cady,,1389
Caldwell,,1407
Campbell,,1448
Carr,,1528
Champion,,1632
Chappell,,1662
Chipman,,1703
Cilley,,1727
Clark,,1770
Clarke,,1787
Clay,,1815
Clendenin,,1835
Clopton,,1853
Conner,,1994
Cooper,,2056
Crawford,,2164
Crocheron,,2183
Dana,,2316
Davenport,,2357
Dickens,,2559
Easton,,
Ellmaker,,
Findley,,3147
Fisk,,3174
Fletcher,,3220
Gaston,,3504
Gholson,,3552
Glasgow,,3624
Gold,,3648
Goldsborough,,3652
Gore,,3705
Griffin,,3820
Grosvenor,,3856
Hahn,,3906
Hale,,3927
Hall,,3933
Hammond,,4006
Hawes,,4206
Henderson,,4304
Horsey,,4586
Huger,,4694
Hulbert,,4712
Hungerford,,4740
Hunter,,4762
Irwin,,4827
Jackson,,4858
Jewett,,4934
Kent,,5195
Kerr,,5205
Kilbourne,,5234
King,,5256
Langdon,,5448
Lattimore,,
Law,,5503
Lewis,,5645
Love,,5795
Lovett,,5801
Lyle,,5846
Lyon,,5861
Marsh,,5993
Mayrant,,6115
McKee,,6290
McLean,,6337
Moffitt,,6582
Moore,,6643
Moore,,6653
Murfree,,6802
Noyes,,6981
Ormsby,,7083
Pickering,,7428
Piper,,7464
Porter,,7539
Powell,,7575
Schenck,,8256
Sevier,,8374
Sharp,,8407
Sheffey,,8428
Smith,,8686
Smith,,8707
Stanford,,8837
Stearns,,8859
Stephenson,,
Sturges,,9063
Taggart,,9154
Tallmadge,,9169
Tate,,9185
Taul,,9190
Taylor,,9217
Telfair,,9245
Thomas,,9295
Throop,,9364
Tichenor,,9378
Vose,,9689
Ward,,9809
Ward,,9817
Ward,,9821
Wheaton,,9983
Wilcox,,10101
Williams,,
Willoughby,,10207
Wilson,,10235
Wilson,,10254
Woods,,10354
Woodward,,10363
Yancey,,10409
Yates,,10417
Ashmun,,271
Hanson,,4044
Hardin,,4054
Harper,,4090
Mason,,6050
Stokes,,8971
Monroe,,6594
Allen,,107
Anderson,,184
Austin,,294
Bellinger,,616
Bennet,,630
Blount,,807
Boss,,870
Bryan,,1175
Burrill,,1305
Claiborne,,1740
Claiborne,,1741
Colston,,1956
Comstock,,1969
Cook,,2026
Cruger,,2221
Cushman,,2280
Darlington,,2341
Desha,,2527
Drake,,2716
Ellicott,,2907
Eppes,,2977
Fisk,,3173
Forney,,3281
Gage,,3421
Gilbert,,3578
Goodwyn,,3691
Hale,,3926
Hasbrouck,,4169
Herbert,,4350
Hitchcock,,4456
Hogg,,4508
Holmes,,4540
Hopkinson,,4577
Hunter,,4761
Huntington,,4767
Irving,,4823
Kirtland,,5300
Lawyer,,5524
Leake,,5542
Lewis,,5651
Maclay,,5892
Marr,,5990
Mason,,6052
McMillan,,
Middleton,,6462
Morril,,6693
Mumford,,6793
Nelson,,6874
Nesbitt,,6879
Ogden,,7031
Ogle,,7033
Orr,,7085
Otis,,7108
Owen,,7131
Pawling,,7270
Pegram,,7307
Pitkin,,7469
Pope,,
Porter,,7536
Rice,,7860
Robertson,,7966
Ross,,8071
Ruggles,,8110
Savage,,8231
Schuyler,,8281
Scudder,,8327
Seybert,,8381
Sherwood,,8465
Spangler,,8763
Speed,,8772
Spencer,,8787
Stewart,,8935
Storer,,8993
Strong,,9036
Stuart,,9055
Tallmadge,,9171
Terry,,9263
Townsend,,9437
Tucker,,9497
Westerlo,,9967
Whiteside,,10062
Wilkin,,10117
Williams,,10160
Williams,,10183
Wilson,,10238
Wilson,,10257
Edwards,,2871
Mellen,,6410
Palmer,,7182
Adams,,24
Allen,,122
Anderson,,179
Archer,,223
Baker,,358
Bloomfield,,803
Boden,,816
Brevard,,1013
Brown,,1111
Brown,,1136
Brush,,1168
Buffum,,1221
Burwell,,1323
Butler,,1350
Case,,1571
Clagett,,1732
Clark,,1780
